Gabriel Caillat;Filipe Araujo;1
Filipe Araujo;Gheorghe Cosmin Silaghi;3
Gheorghe Cosmin Silaghi;Filipe Araujo;3
Filipe Araujo;Gilles Fedak;4
Gilles Fedak;Filipe Araujo;4
Filipe Araujo;Gábor Gombás;3
Gábor Gombás;Filipe Araujo;3
Filipe Araujo;Gábor Terstyánszky;2
Gábor Terstyánszky;Filipe Araujo;2
Filipe Araujo;Haiwu He;1
Haiwu He;Filipe Araujo;1
Filipe Araujo;Henrique Madeira;1
Henrique Madeira;Filipe Araujo;1
Filipe Araujo;Hugo Miranda;1
Hugo Miranda;Filipe Araujo;1
Filipe Araujo;Ian Kelly;2
Ian Kelly;Filipe Araujo;2
Filipe Araujo;Ian Taylor;2
Ian Taylor;Filipe Araujo;2
Filipe Araujo;Jorge Farinha;2
Jorge Farinha;Filipe Araujo;2
Filipe Araujo;Luis Pinto;1
Luis Pinto;Filipe Araujo;1
Filipe Araujo;Luís Rodrigues;2
Luís Rodrigues;Filipe Araujo;2
Filipe Araujo;Luís Silva;9
Luís Silva;Filipe Araujo;9
Filipe Araujo;Miguel Cardenas-Montes;2
Miguel Cardenas-Montes;Filipe Araujo;2
Filipe Araujo;Naghmeh Ramezani Ivaki;9
Naghmeh Ramezani Ivaki;Filipe Araujo;9
Filipe Araujo;Nuno Laranjeiro;2
Nuno Laranjeiro;Filipe Araujo;2
Filipe Araujo;Oleg Lodygensky;4
Oleg Lodygensky;Filipe Araujo;4
Filipe Araujo;Patricio Domingues;13
Patricio Domingues;Filipe Araujo;13
Filipe Araujo;Paul Malecot;1
Paul Malecot;Filipe Araujo;1
Filipe Araujo;Pedro Furtado;1
Pedro Furtado;Filipe Araujo;1
Filipe Araujo;Péter Kacsuk;4
Péter Kacsuk;Filipe Araujo;4
Filipe Araujo;Raul Barbosa;7
Raul Barbosa;Filipe Araujo;7
Filipe Araujo;Róbert Lovas;2
Róbert Lovas;Filipe Araujo;2
Filipe Araujo;Samuel Neves;7
Samuel Neves;Filipe Araujo;7
Filipe Araujo;Serhiy Boychenko;6
Serhiy Boychenko;Filipe Araujo;6
Filipe Araujo;Tamas Kiss;2
Tamas Kiss;Filipe Araujo;2
Filipe Araujo;Tiago Santos;1
Tiago Santos;Filipe Araujo;1
Filipe Araujo;Zoltán Balaton;4
Zoltán Balaton;Filipe Araujo;4
Filipe Araujo;Zoltán Farkas;4
Zoltán Farkas;Filipe Araujo;4
Flávio Morais de Assis Silva;Aline Maria Santos Andrade;1
Aline Maria Santos Andrade;Flávio Morais de Assis Silva;1
Flávio Morais de Assis Silva;Carlos Alberto Maziero;1
Carlos Alberto Maziero;Flávio Morais de Assis Silva;1
Flávio Morais de Assis Silva;João Gabriel Silva;1
João Gabriel Silva;Flávio Morais de Assis Silva;1
Francisco Fernández de Vega;Ana Filipa Nogueira;3
Ana Filipa Nogueira;Francisco Fernández de Vega;3
Francisco Fernández de Vega;José Carlos Bregieiro Ribeiro;12
